12
SeqA,0.000000,0.702782,0.689747,0.694983,0.893732,0.902269,0.897713,0.903489,0.924150,0.915600,0.919310,0.919900
SeqB,0.702782,0.000000,0.698425,0.694404,0.923328,0.921405,0.913507,0.926213,0.912019,0.909428,0.909885,0.913063
SeqC,0.689747,0.698425,0.000000,0.706605,0.911807,0.900114,0.882350,0.905343,0.914150,0.913553,0.912502,0.914177
SeqD,0.694983,0.694404,0.706605,0.000000,0.889070,0.902888,0.892218,0.902248,0.909755,0.911375,0.909755,0.912953
SeqE,0.893732,0.923328,0.911807,0.889070,0.000000,0.451752,0.462864,0.489553,0.834174,0.837388,0.833680,0.831494
SeqF,0.902269,0.921405,0.900114,0.902888,0.451752,0.000000,0.427747,0.453835,0.825631,0.831554,0.827733,0.825620
SeqG,0.897713,0.913507,0.882350,0.892218,0.462864,0.427747,0.000000,0.458739,0.821326,0.823980,0.821811,0.821340
SeqH,0.903489,0.926213,0.905343,0.902248,0.489553,0.453835,0.458739,0.000000,0.828920,0.834200,0.827307,0.827867
SeqI,0.924150,0.912019,0.914150,0.909755,0.834174,0.825631,0.821326,0.828920,0.000000,0.029870,0.029338,0.025070
SeqJ,0.915600,0.909428,0.913553,0.911375,0.837388,0.831554,0.823980,0.834200,0.029870,0.000000,0.027204,0.024003
SeqK,0.919310,0.909885,0.912502,0.909755,0.833680,0.827733,0.821811,0.827307,0.029338,0.027204,0.000000,0.022937
SeqL,0.919900,0.913063,0.914177,0.912953,0.831494,0.825620,0.821340,0.827867,0.025070,0.024003,0.022937,0.000000
